Trip ID,Origin city,Destination,Region,Distance (km),Start date,End date,Duration (days),Traveler age,Traveler gender,Traveler nationality,Group size,Trip type,Accommodation type,Accommodation cost,Transportation type,Transportation cost,Food cost,Activities cost,Total cost,Season,Currency
23,Sehwan Sharif,Kurram Valley,KPK,1032,22/02/2025,01/03/2025,7,23,Female,Pakistani,3,Leisure,Budget,49490,Flight,38361,30492,11214,129557,Winter,PKR
24,Malakand,Rush Lake,Gilgit-Baltistan,361,19/03/2025,24/03/2025,5,62,Male,Pakistani,1,Business,Mid,46065,Flight,4372,11900,4650,66987,Spring,PKR
25,Jhelum,Dudipatsar Lake,KPK,316,30/11/2026,06/12/2026,6,33,Female,Pakistani,3,Family,Luxury,324768,Flight,12968,67842,58860,464438,Autumn,PKR
26,Kot Sultan,Karachi Zoo,Sindh,1070,03/07/2025,05/07/2025,2,65,Male,Pakistani,6,Adventure,Budget,38232,Road (Coaster),173443,12120,8340,232135,Summer,PKR
27,Alpuri,Sangla Hill,Punjab,410,17/08/2025,20/08/2025,3,19,Female,Pakistani,4,Business,Budget,12852,Road (Coaster),66838,10620,5748,96058,Summer,PKR
28,North Nazimabad,Biang Gali,KPK,1628,25/09/2025,30/09/2025,5,29,Female,Pakistani,1,Leisure,Mid,54155,Flight,20579,10710,6230,91674,Autumn,PKR
29,Mardan,Thandiani,KPK,164,18/09/2025,24/09/2025,6,20,Female,Pakistani,1,Adventure,Mid,51438,Road (Car (Small)),8520,13056,8628,81642,Autumn,PKR
30,Jati,Pindi Bhattian,Punjab,1232,17/02/2026,21/02/2026,4,62,Male,Pakistani,2,Adventure,Mid,36420,Road (Hiace),137312,15144,10928,199804,Winter,PKR
31,Shahdadpur,Urak Valley,Balochistan,569,17/08/2026,22/08/2026,5,56,Female,Pakistani,4,Family,Mid,87500,Road (Car (SUV)),39485,48920,25680,201585,Summer,PKR
32,Pir Chinasi,Pind Dadan Khan,Punjab,255,06/04/2025,10/04/2025,4,33,Female,Pakistani,2,Adventure,Budget,8376,Road (Car (Small)),14163,6800,4344,33683,Spring,PKR
33,Dhadar,Jahaz Banda,KPK,874,29/01/2026,08/02/2026,10,49,Male,Pakistani,2,Leisure,Luxury,254920,Flight,24906,90820,38960,409606,Winter,PKR
34,Kalat,Dhandh Wildlife Sanctuary,Sindh,576,05/05/2025,08/05/2025,3,47,Male,Pakistani,6,Business,Luxury,292518,Road (Coaster),88719,67572,55242,504051,Spring,PKR
35,Sangla Hill,Rush Lake,Gilgit-Baltistan,660,06/04/2026,14/04/2026,8,34,Female,Pakistani,6,Business,Mid,294480,Flight,49038,119616,69168,532302,Spring,PKR
36,Khipro,Thandiani,KPK,1106,24/11/2025,01/12/2025,7,52,Male,Pakistani,2,Adventure,Mid,64757,Flight,26524,27132,12110,130523,Autumn,PKR
37,Thall,Gandhara,KPK,203,07/03/2026,13/03/2026,6,42,Female,Pakistani,6,Leisure,Luxury,620352,Road (Hiace),21419,171108,54432,867311,Spring,PKR
38,Buner,Blind Lake,Gilgit-Baltistan,373,14/07/2026,24/07/2026,10,56,Male,Pakistani,2,Business,Mid,82370,Road (Coaster),64359,45920,22880,215529,Summer,PKR
39,Roundu,Shimshal Valley,Gilgit-Baltistan,137,30/08/2026,07/09/2026,8,54,Female,Pakistani,1,Family,Budget,39128,Road (Hiace),14606,7888,3400,65022,Summer,PKR
40,Surjani,Kumrat Valley,KPK,1439,16/09/2025,24/09/2025,8,23,Female,Pakistani,6,Leisure,Luxury,803208,Flight,123001,178464,135888,1240561,Autumn,PKR
41,Jhelum,Dera Ghazi Khan,Punjab,566,24/07/2025,27/07/2025,3,19,Female,Pakistani,2,Adventure,Mid,20811,Flight,13269,10662,4938,49680,Summer,PKR
42,Talhar,Kumrat Valley,KPK,1335,28/04/2025,07/05/2025,9,28,Male,Pakistani,5,Leisure,Luxury,926046,Flight,73916,199080,154260,1353302,Spring,PKR
43,Muzaffarabad,Gondogoro La,Gilgit-Baltistan,340,05/11/2025,15/11/2025,10,61,Female,Pakistani,5,Leisure,Mid,345270,Road (Hiace),32921,112900,43500,534591,Autumn,PKR
44,Bono,Yasin Valley,Gilgit-Baltistan,165,13/10/2026,20/10/2026,7,47,Female,Pakistani,4,Adventure,Mid,186592,Road (Coaster),26800,57484,40040,310916,Autumn,PKR
45,Hunza,Haroonabad,Punjab,839,30/03/2025,02/04/2025,3,35,Male,Pakistani,4,Family,Mid,60294,Flight,38807,24852,11184,135137,Spring,PKR
46,Kashmore,Rupal Valley,Gilgit-Baltistan,1020,20/12/2026,29/12/2026,9,35,Female,Pakistani,5,Adventure,Budget,125928,Flight,67759,58500,30780,282967,Winter,PKR
47,Kel,Blind Lake,Gilgit-Baltistan,197,18/01/2025,26/01/2025,8,23,Male,Pakistani,4,Adventure,Mid,204224,Road (Hiace),20355,72160,41088,337827,Winter,PKR
48,North Nazimabad,Khan Bela,Punjab,755,05/10/2025,10/10/2025,5,37,Male,Pakistani,1,Adventure,Mid,51945,Road (Car (SUV)),60542,10865,6900,130252,Autumn,PKR
49,Gilgit,Dunga Gali,KPK,308,04/09/2026,13/09/2026,9,36,Male,Pakistani,3,Adventure,Mid,188568,Road (Hiace),29292,41256,41175,300291,Autumn,PKR
50,Islamkot,Nambal Lake,AJK,1377,16/10/2026,22/10/2026,6,49,Male,Pakistani,5,Business,Mid,208944,Road (Hiace),135151,65910,29640,439645,Autumn,PKR
51,Shakargarh,Bumburet Valley,KPK,581,14/08/2026,19/08/2026,5,58,Female,Pakistani,2,Adventure,Luxury,159780,Flight,15747,31480,20080,227087,Summer,PKR
52,Sher Qilla,Swat Valley,KPK,197,25/01/2026,03/02/2026,9,46,Male,Pakistani,5,Family,Mid,353349,Road (Car (Small)),9118,73035,64080,499582,Winter,PKR
53,Mamu Kanjan,Hujra Shah Muqeem,Punjab,107,10/06/2025,12/06/2025,2,33,Male,Pakistani,1,Adventure,Budget,5844,Flight,1266,2162,898,10170,Summer,PKR
54,Pano Aqil,Astore Valley,Gilgit-Baltistan,1275,14/03/2025,22/03/2025,8,61,Male,Pakistani,6,Adventure,Mid,299064,Flight,89935,94080,70224,553303,Spring,PKR
55,Gaggo Mandi,Chilam Chowki,Gilgit-Baltistan,626,11/11/2025,17/11/2025,6,56,Female,Pakistani,3,Family,Budget,50940,Flight,23933,21816,15876,112565,Autumn,PKR
56,Takht-i-Bahi,Gwadar Marine Drive,Balochistan,1420,19/03/2026,21/03/2026,2,65,Male,Pakistani,3,Leisure,Budget,25044,Flight,60589,10536,5640,101809,Spring,PKR
57,Moro,Mangla Dam,AJK,1112,27/04/2026,03/05/2026,6,51,Female,Pakistani,3,Adventure,Luxury,435396,Flight,40207,86652,62712,624967,Spring,PKR
58,Lyari,Karachi Zoo,Sindh,6,14/06/2025,16/06/2025,2,39,Male,Foreign,4,Business,Mid,48408,Road (Hiace),641,23789,7882,80720,Summer,PKR
59,Ziarat,Dera Ismail Khan,KPK,454,05/11/2026,10/11/2026,5,52,Male,Pakistani,1,Adventure,Mid,65500,Road (Car (Small)),24762,12600,7200,110062,Autumn,PKR
60,Digri,Kallar Kahar,Punjab,1015,05/05/2025,10/05/2025,5,19,Female,Pakistani,2,Adventure,Mid,30560,Flight,29175,17650,10170,87555,Spring,PKR
61,Rojhan,Sudhan Gali,AJK,801,26/10/2026,31/10/2026,5,27,Female,Foreign,3,Business,Mid,133750,Flight,30441,41410,17608,223209,Autumn,PKR
62,Shigar,Jalalpur,Punjab,467,13/03/2025,16/03/2025,3,35,Female,Pakistani,3,Business,Luxury,117804,Road (Coaster),74647,33174,16299,241924,Spring,PKR
63,Ghalanai,Karor Lal Esan,Punjab,429,12/04/2026,17/04/2026,5,38,Male,Foreign,2,Family,Budget,21372,Flight,12779,12151,3836,50138,Spring,PKR
64,Peshawar,Ishkoman Valley,Gilgit-Baltistan,410,30/10/2026,09/11/2026,10,27,Female,Pakistani,2,Business,Luxury,364270,Road (Car (Small)),20781,64160,51540,500751,Autumn,PKR
65,Dheerkot,Urak Valley,Balochistan,1041,26/04/2026,28/04/2026,2,34,Male,Pakistani,6,Family,Mid,83862,Flight,79455,24864,20064,208245,Spring,PKR
66,Gharo,Gor Khuttree,KPK,1377,09/07/2026,17/07/2026,8,20,Female,Pakistani,2,Business,Luxury,199688,Flight,36721,73232,27216,336857,Summer,PKR
67,Karor Lal Esan,Fort Abbas,Punjab,304,17/02/2025,19/02/2025,2,38,Male,Pakistani,3,Business,Mid,32000,Road (Car (SUV)),21279,10458,6126,69863,Winter,PKR
68,Peshawar,Rasool Nagar,Punjab,474,25/05/2026,28/05/2026,3,55,Male,Pakistani,4,Business,Mid,68772,Road (Car (SUV)),37381,14508,12912,133573,Spring,PKR
69,Garhi Khairo,Gwadar Beach,Balochistan,773,08/12/2026,13/12/2026,5,34,Male,Pakistani,2,Family,Luxury,107470,Flight,19895,29850,21810,179025,Winter,PKR
70,Diplo,Toli Pir,AJK,1112,10/02/2026,20/02/2026,10,35,Male,Pakistani,6,Leisure,Luxury,1148280,Flight,86638,238320,185280,1658518,Winter,PKR
71,Shahpur Chakar,Daska,Punjab,1000,28/09/2026,01/10/2026,3,34,Female,Foreign,6,Adventure,Mid,116096,Flight,86060,38789,13339,254284,Autumn,PKR
72,Kallar Kahar,Faiz Mahal Khairpur,Sindh,721,01/12/2025,05/12/2025,4,65,Male,Pakistani,2,Adventure,Mid,39988,Road (Car (SUV)),58700,19896,10504,129088,Winter,PKR
73,Diplo,Chalta Valley,Gilgit-Baltistan,1818,28/04/2025,05/05/2025,7,47,Male,Pakistani,2,Family,Luxury,237895,Flight,42730,44366,43666,368657,Spring,PKR
74,Malakwal,Rush Lake,Gilgit-Baltistan,499,20/11/2026,30/11/2026,10,34,Female,Pakistani,6,Business,Budget,118710,Road (Hiace),46451,76920,24720,266801,Autumn,PKR
75,Narowal,Cape Monze,Sindh,1428,19/12/2026,24/12/2026,5,37,Female,Pakistani,1,Adventure,Budget,18260,Flight,16629,6055,3760,44704,Winter,PKR
76,Mingora,Mailsi,Punjab,653,25/08/2026,30/08/2026,5,65,Female,Pakistani,4,Leisure,Luxury,250860,Flight,31693,60700,35440,378693,Summer,PKR
77,Dargai,Sharda,AJK,258,07/01/2026,13/01/2026,6,24,Female,Pakistani,5,Business,Budget,74340,Flight,17870,29820,26850,148880,Winter,PKR
78,Bahrain,Shimshal Valley,Gilgit-Baltistan,292,20/10/2026,26/10/2026,6,58,Female,Pakistani,1,Business,Budget,21090,Flight,3957,8268,3030,36345,Autumn,PKR
79,Pir Mahal,Jhawarian,Punjab,218,03/12/2025,06/12/2025,3,27,Female,Pakistani,3,Adventure,Luxury,143100,Flight,9103,24417,14013,190633,Winter,PKR
80,Kallar Kahar,Chagai Hills,Balochistan,885,26/08/2026,29/08/2026,3,38,Male,Pakistani,3,Leisure,Budget,31344,Road (Coaster),138974,12942,5022,188282,Summer,PKR
81,Hunza,Gandogar,KPK,318,15/08/2025,24/08/2025,9,57,Male,Foreign,6,Business,Mid,246811,Road (Coaster),53608,97110,77137,474666,Summer,PKR
82,Toba Tek Singh,Mian Channu,Punjab,67,09/03/2025,12/03/2025,3,26,Male,Pakistani,6,Business,Mid,98037,Road (Coaster),10624,31374,16218,156253,Spring,PKR
83,Dheerkot,Hopar Valley,Gilgit-Baltistan,329,09/08/2025,18/08/2025,9,45,Male,Pakistani,4,Business,Luxury,631170,Flight,16234,162108,107784,917296,Summer,PKR
84,Bhan,Shakargarh,Punjab,1453,10/03/2025,15/03/2025,5,23,Male,Pakistani,4,Leisure,Mid,90520,Flight,75040,40620,14660,220840,Spring,PKR
85,Harnai,Bahrain,KPK,885,06/05/2025,16/05/2025,10,44,Male,Foreign,4,Leisure,Luxury,751579,Flight,47726,197698,79825,1076828,Spring,PKR
86,Kakepota,Ayubia,KPK,400,24/07/2026,31/07/2026,7,41,Male,Foreign,3,Adventure,Luxury,362919,Flight,18138,92754,37125,510936,Summer,PKR
87,Multan,Sadh Belo Temple,Sindh,403,03/08/2026,06/08/2026,3,60,Male,Pakistani,2,Leisure,Budget,17016,Road (Hiace),40500,6720,4152,68388,Summer,PKR
88,Malir,Garam Chashma,KPK,1702,03/09/2026,12/09/2026,9,23,Male,Pakistani,2,Leisure,Mid,92061,Flight,44202,43326,26586,206175,Autumn,PKR
89,Hangu,Wartair Pass,KPK,273,27/04/2025,06/05/2025,9,40,Male,Pakistani,3,Family,Mid,189468,Road (Car (Small)),13494,43011,27675,273648,Spring,PKR
90,Mamu Kanjan,Lal Shahbaz Qalandar Shrine,Sindh,898,24/10/2025,28/10/2025,4,38,Male,Pakistani,4,Family,Budget,40456,Flight,46018,23120,13760,123354,Autumn,PKR
91,Jhol,Toba Tek Singh,Punjab,682,23/03/2026,25/03/2026,2,19,Male,Pakistani,3,Family,Mid,47248,Flight,25080,11130,6162,89620,Spring,PKR
92,Malir,Sost,Gilgit-Baltistan,1601,17/04/2026,26/04/2026,9,62,Male,Pakistani,4,Leisure,Budget,97416,Flight,89232,43560,24048,254256,Spring,PKR
93,Hala,Neelum Valley,AJK,1209,20/03/2025,26/03/2025,6,50,Female,Pakistani,5,Adventure,Luxury,602064,Flight,79332,127140,89670,898206,Spring,PKR
94,Pattoki,Hattian Bala,AJK,383,20/09/2025,26/09/2025,6,30,Male,Pakistani,2,Leisure,Budget,30138,Road (Coaster),66595,15300,9432,121465,Autumn,PKR
95,Athmuqam,Naran,KPK,55,27/11/2025,06/12/2025,9,58,Male,Pakistani,4,Leisure,Mid,237096,Road (Car (Small)),2467,76320,58140,374023,Autumn,PKR
96,Besham,Bagh,AJK,157,13/01/2026,18/01/2026,5,36,Male,Pakistani,1,Family,Mid,62700,Road (Car (SUV)),12571,7920,6300,89491,Winter,PKR
97,Raiwind,Kuz Gali,KPK,448,16/04/2025,24/04/2025,8,39,Female,Pakistani,5,Adventure,Budget,115032,Road (Car (SUV)),35181,49960,26720,226893,Spring,PKR
98,Mingora,Hussaini Suspension Bridge,Gilgit-Baltistan,345,27/11/2026,04/12/2026,7,56,Male,Pakistani,6,Business,Budget,71127,Road (Hiace),35062,57582,31374,195145,Autumn,PKR
99,Chilas,Renala Khurd,Punjab,683,25/03/2025,29/03/2025,4,55,Female,Pakistani,3,Business,Luxury,211544,Flight,27357,42672,24024,305597,Spring,PKR
100,Kot Addu,Wah Cantonment,Punjab,452,21/10/2026,26/10/2026,5,39,Male,Foreign,6,Leisure,Mid,169730,Flight,38608,61668,34777,304783,Autumn,PKR
101,Bhit Shah,Toba Tek Singh,Punjab,958,16/07/2025,21/07/2025,5,32,Male,Pakistani,1,Business,Luxury,83285,Flight,12893,16195,13890,126263,Summer,PKR
102,Panjgur,Frere Hall,Sindh,383,25/09/2026,29/09/2026,4,26,Female,Pakistani,2,Adventure,Budget,25348,Road (Car (SUV)),26640,13512,6552,72052,Autumn,PKR
103,Tando Jan Mohammad,Pasrur,Punjab,1197,31/03/2026,03/04/2026,3,57,Male,Foreign,6,Family,Budget,26846,Road (Car (SUV)),113262,19759,11648,171515,Spring,PKR
104,Besham,Kotli,AJK,238,30/05/2026,07/06/2026,8,51,Male,Pakistani,2,Adventure,Luxury,189672,Road (Car (Small)),12323,76288,52640,330923,Spring,PKR
105,Malakwal,Badgoi Pass,KPK,401,07/10/2025,13/10/2025,6,46,Female,Pakistani,4,Leisure,Luxury,351300,Flight,17477,111528,79464,559769,Autumn,PKR
106,Mianwali,Qaidabad,Punjab,156,30/08/2025,03/09/2025,4,42,Male,Pakistani,2,Leisure,Mid,27244,Road (Car (SUV)),11414,16472,10648,65778,Summer,PKR
107,Miran Shah,Vehari,Punjab,504,24/12/2026,27/12/2026,3,48,Male,Pakistani,1,Leisure,Budget,7323,Road (Coaster),82252,2259,1740,93574,Winter,PKR
108,Sanghar,Malam Jabba,KPK,1081,06/03/2026,12/03/2026,6,58,Female,Pakistani,1,Leisure,Luxury,230268,Flight,13912,29970,9198,283348,Spring,PKR
109,Minchanabad,Nankana Sahib,Punjab,170,22/09/2026,24/09/2026,2,40,Male,Pakistani,4,Adventure,Mid,26804,Flight,8631,13888,7752,57075,Autumn,PKR
110,Zhob,Mohatta Palace,Sindh,1003,04/02/2026,06/02/2026,2,48,Male,Pakistani,4,Business,Budget,14264,Flight,46812,10120,7224,78420,Winter,PKR
111,Ahmadpur East,Lansdowne Bridge Sukkur,Sindh,373,17/05/2025,21/05/2025,4,20,Male,Pakistani,3,Adventure,Luxury,265792,Road (Car (SUV)),30076,47088,28560,371516,Spring,PKR
112,Khwazakhela,Gondogoro La,Gilgit-Baltistan,384,14/02/2025,20/02/2025,6,30,Male,Pakistani,3,Family,Luxury,477528,Flight,15124,85302,36324,614278,Winter,PKR
113,Khipro,Madyan,KPK,1267,03/11/2026,08/11/2026,5,39,Male,Pakistani,3,Family,Luxury,364090,Flight,47840,65745,32910,510585,Autumn,PKR
114,Turbat,Kot Momin,Punjab,1359,26/03/2025,30/03/2025,4,64,Male,Pakistani,4,Adventure,Mid,69048,Flight,64494,20880,10896,165318,Spring,PKR
115,Matta,Rupal Valley,Gilgit-Baltistan,245,20/06/2025,28/06/2025,8,62,Male,Pakistani,4,Leisure,Mid,174208,Road (Car (Small)),12331,88288,39840,314667,Summer,PKR
116,Sangla Hill,Multan,Punjab,343,15/09/2026,18/09/2026,3,61,Male,Pakistani,2,Leisure,Budget,9963,Road (Car (Small)),18329,5850,2910,37052,Autumn,PKR
117,Matli,Khaplu Fort,Gilgit-Baltistan,1557,11/08/2026,16/08/2026,5,26,Female,Pakistani,4,Business,Mid,100440,Flight,78451,34640,16520,230051,Summer,PKR
118,Harnai,Ayubia,KPK,711,22/12/2026,29/12/2026,7,46,Male,Pakistani,3,Family,Budget,49770,Flight,28514,18375,13251,109910,Winter,PKR
119,Mian Channu,Katora Lake,KPK,771,15/11/2026,22/11/2026,7,40,Female,Pakistani,5,Business,Luxury,570381,Flight,44746,122955,109375,847457,Autumn,PKR
120,Bhalwal,Mochi Kot,KPK,232,21/05/2026,27/05/2026,6,19,Male,Pakistani,5,Business,Mid,225342,Road (Car (Small)),12512,52950,42780,333584,Spring,PKR
121,Bajaur,Mangla Dam,AJK,322,12/08/2026,20/08/2026,8,22,Male,Pakistani,6,Leisure,Mid,325704,Flight,26631,122832,55296,530463,Summer,PKR
122,Garhi Khairo,Musk Deer National Park,KPK,975,20/03/2026,26/03/2026,6,50,Male,Pakistani,5,Adventure,Mid,167868,Flight,58722,64800,52710,344100,Spring,PKR
123,Kalat,Kuz Gali,KPK,1160,14/09/2025,19/09/2025,5,30,Female,Pakistani,3,Adventure,Mid,130330,Flight,39696,38880,13425,222331,Autumn,PKR
124,Gulistan,Turtle Beach,Sindh,755,01/08/2026,05/08/2026,4,20,Male,Pakistani,1,Business,Mid,53128,Flight,8236,10284,4904,76552,Summer,PKR
125,Muzaffarabad,Dera Ismail Khan,KPK,450,06/11/2025,16/11/2025,10,48,Male,Foreign,4,Business,Mid,304021,Road (Coaster),74025,72300,42836,493182,Autumn,PKR
126,Bin Qasim,Ghoragali,KPK,1546,13/02/2026,20/02/2026,7,26,Female,Pakistani,5,Leisure,Mid,248241,Flight,87404,61250,37555,434450,Winter,PKR
127,Khanewal,Sharaqpur,Punjab,272,23/09/2026,28/09/2026,5,44,Male,Pakistani,3,Business,Budget,23260,Road (Hiace),26093,16650,8445,74448,Autumn,PKR
128,Charsadda,Kot Momin,Punjab,300,09/08/2025,12/08/2025,3,55,Male,Pakistani,1,Business,Mid,34077,Road (Car (Small)),16017,5664,3243,59001,Summer,PKR
129,Sehwan Sharif,Khaplu,Gilgit-Baltistan,1631,10/01/2026,18/01/2026,8,20,Male,Pakistani,5,Adventure,Mid,248736,Flight,110515,66000,47800,473051,Winter,PKR
130,Ubauro,Vehari,Punjab,436,12/05/2025,14/05/2025,2,24,Male,Pakistani,3,Business,Mid,30520,Road (Car (Small)),20816,10896,6726,68958,Spring,PKR
131,Lyari,Garelt,Gilgit-Baltistan,1941,13/04/2026,22/04/2026,9,27,Female,Pakistani,2,Business,Luxury,291933,Flight,52257,62370,41472,448032,Spring,PKR
132,Kunri,Chobara,Punjab,862,27/12/2026,01/01/2027,5,54,Male,Pakistani,1,Business,Mid,34485,Flight,12098,8130,5985,60698,Winter,PKR
133,Mirpur,Chobara,Punjab,366,29/09/2025,04/10/2025,5,59,Female,Pakistani,5,Adventure,Mid,161700,Road (Coaster),57805,42275,19350,281130,Autumn,PKR
134,Chiniot,Gilgit,Gilgit-Baltistan,594,23/04/2025,03/05/2025,10,30,Male,Pakistani,3,Family,Budget,76700,Road (Coaster),100502,36600,19680,233482,Spring,PKR
135,Khushab,Mingora,KPK,353,01/08/2025,10/08/2025,9,53,Male,Pakistani,4,Family,Mid,169524,Road (Hiace),37340,87876,62424,357164,Summer,PKR
136,Sehwan Sharif,Gandhara,KPK,1185,10/09/2025,16/09/2025,6,35,Female,Pakistani,2,Business,Mid,82644,Flight,28300,23088,18072,152104,Autumn,PKR
137,Kazi Ahmed,Chilam Chowki,Gilgit-Baltistan,1408,08/10/2025,18/10/2025,10,36,Male,Pakistani,6,Family,Luxury,1047840,Flight,95693,252780,207300,1603613,Autumn,PKR
138,Gujrat,Leiah,Punjab,385,21/12/2025,23/12/2025,2,46,Female,Pakistani,6,Family,Budget,22170,Road (Hiace),38771,13812,5256,80009,Winter,PKR
139,Garhi Khairo,Phalia,Punjab,754,17/11/2026,19/11/2026,2,51,Male,Pakistani,2,Leisure,Budget,5352,Road (Car (SUV)),58186,4332,1404,69274,Autumn,PKR
140,Sharaqpur,Jahaz Banda,KPK,574,04/05/2026,12/05/2026,8,59,Male,Foreign,3,Business,Budget,60810,Flight,25691,25068,20623,132192,Spring,PKR
141,Mandi Bahauddin,Misgar,Gilgit-Baltistan,646,04/03/2026,10/03/2026,6,29,Male,Pakistani,4,Adventure,Luxury,377820,Flight,33514,70872,36432,518638,Spring,PKR
142,Orangi,Borith Lake,Gilgit-Baltistan,1649,11/07/2026,21/07/2026,10,51,Female,Pakistani,5,Family,Budget,103830,Flight,108288,56900,24150,293168,Summer,PKR
143,Sargodha,Chappar Gali,KPK,300,05/08/2026,12/08/2026,7,61,Female,Pakistani,2,Family,Luxury,272188,Road (Car (Small)),14341,58002,23478,368009,Summer,PKR
144,Badin,Faisalabad,Punjab,862,30/08/2025,04/09/2025,5,46,Female,Pakistani,3,Business,Mid,106930,Flight,34378,18165,13005,172478,Summer,PKR
145,Khushab,Upper Kachura Lake,Gilgit-Baltistan,569,11/11/2025,19/11/2025,8,28,Male,Foreign,5,Business,Mid,353566,Flight,36707,93700,52372,536345,Autumn,PKR
146,Kot Radha Kishan,Sost,Gilgit-Baltistan,731,18/01/2026,27/01/2026,9,44,Female,Pakistani,4,Adventure,Mid,244314,Flight,37110,97920,60984,440328,Winter,PKR
147,Awaran,Moro,Punjab,351,01/08/2026,03/08/2026,2,25,Male,Pakistani,5,Adventure,Mid,43362,Road (Coaster),50348,13680,9350,116740,Summer,PKR
148,Toba,Mamu Kanjan,Punjab,706,26/02/2025,03/03/2025,5,47,Male,Pakistani,4,Family,Mid,105770,Road (Car (Small)),36821,33460,25760,201811,Winter,PKR
149,Basirpur,Rajanpur,Punjab,465,10/03/2026,12/03/2026,2,40,Female,Pakistani,5,Leisure,Luxury,96780,Flight,26616,31660,12640,167696,Spring,PKR
150,Hasilpur,Kasur,Punjab,316,19/01/2026,24/01/2026,5,42,Male,Pakistani,4,Leisure,Mid,114210,Flight,17565,41900,23040,196715,Winter,PKR
