Trip ID,Destination,Region,Start date,End date,Duration (days),Traveler age,Traveler gender,Traveler nationality,Group size,Trip type,Accommodation type,Accommodation cost,Transportation type,Transportation cost,Food cost,Activities cost,Total cost,Season,Currency
16,Gulapur,Gilgit-Baltistan,2025-03-25,2025-04-03,9,18,Male,Foreign,5,Family,Mid,86265,Road,12400,123480,13257,235402,Spring,PKR
17,West Bay Gwadar,Balochistan,2025-06-01,2025-06-06,5,41,Female,Foreign,1,Business,Mid,38435,Road,16907,18895,5550,79787,Summer,PKR
18,Arang Kel,AJK,2026-08-25,2026-09-02,8,29,Male,Foreign,1,Leisure,Mid,111320,Flight,18602,22192,19976,172090,Summer,PKR
19,Burewala,Punjab,2025-01-07,2025-01-15,8,21,Female,Pakistani,2,Leisure,Mid,85312,Road,23518,54336,8424,171590,Winter,PKR
20,Hattian Bala,AJK,2026-03-05,2026-03-11,6,23,Female,Foreign,4,Leisure,Mid,51282,Road,4256,64704,7086,127328,Spring,PKR
21,Kund,KPK,2026-11-05,2026-11-10,5,33,Male,Pakistani,3,Family,Budget,24635,Road,4326,27135,5595,61691,Autumn,PKR
22,Nambal Lake,AJK,2026-12-07,2026-12-16,9,50,Female,Foreign,5,Business,Mid,83349,Road,22981,147150,14877,268357,Winter,PKR
23,Dunyapur,Punjab,2026-03-16,2026-03-25,9,22,Female,Foreign,4,Family,Mid,55836,Road,19486,76248,17442,169012,Spring,PKR
24,Bala Hissar (Gilgit),Gilgit-Baltistan,2026-05-23,2026-05-26,3,56,Male,Pakistani,2,Business,Budget,15924,Flight,36352,7248,1734,61258,Spring,PKR
25,Soan Valley,Punjab,2026-01-10,2026-01-20,10,56,Male,Pakistani,3,Leisure,Mid,111370,Road,5171,77400,16530,210471,Winter,PKR
26,Misgar,Gilgit-Baltistan,2026-11-30,2026-12-05,5,49,Male,Foreign,5,Leisure,Mid,53620,Road,1763,99900,11850,167133,Autumn,PKR
27,Phander Lake,Gilgit-Baltistan,2025-05-29,2025-05-31,2,56,Female,Foreign,5,Family,Mid,21896,Road,35930,26480,4114,88420,Spring,PKR
28,Charsadda,KPK,2025-03-16,2025-03-20,4,53,Female,Foreign,4,Leisure,Luxury,96224,Road,26326,95856,18984,237390,Spring,PKR
29,Khaplu,Gilgit-Baltistan,2025-11-12,2025-11-17,5,60,Male,Pakistani,5,Family,Mid,68455,Flight,84695,72775,11970,237895,Autumn,PKR
30,Tarishing Valley,Gilgit-Baltistan,2025-06-05,2025-06-10,5,32,Female,Pakistani,2,Family,Mid,61435,Road,1722,34260,10830,108247,Summer,PKR
31,Burewala,Punjab,2025-04-12,2025-04-20,8,35,Female,Foreign,2,Leisure,Mid,66928,Road,5880,44880,13672,131360,Spring,PKR
32,Chalt,Gilgit-Baltistan,2025-04-07,2025-04-15,8,27,Female,Foreign,1,Business,Mid,110624,Road,11172,31152,17040,169988,Spring,PKR
33,Vehari,Punjab,2026-08-03,2026-08-08,5,43,Female,Foreign,1,Adventure,Budget,17715,Flight,29100,5130,3965,55910,Summer,PKR
34,Quaid e Azam Residency Ziarat,Balochistan,2025-01-19,2025-01-27,8,51,Male,Pakistani,5,Adventure,Luxury,165008,Road,16095,170960,29512,381575,Winter,PKR
35,Kasur,Punjab,2025-07-31,2025-08-08,8,46,Male,Pakistani,2,Leisure,Mid,79280,Road,1378,54736,11472,146866,Summer,PKR
36,Ghoragali,KPK,2025-04-25,2025-05-01,6,41,Male,Pakistani,5,Business,Budget,23286,Road,10795,56490,5664,96235,Spring,PKR
37,Neelum Valley,AJK,2026-06-01,2026-06-11,10,28,Female,Pakistani,2,Leisure,Budget,50250,Road,15934,27340,7150,100674,Summer,PKR
38,Uch Sharif,Punjab,2026-07-17,2026-07-26,9,39,Male,Foreign,5,Family,Mid,89973,Flight,169695,114300,10530,384498,Summer,PKR
39,Jhelum,Punjab,2025-02-08,2025-02-10,2,59,Female,Pakistani,5,Adventure,Luxury,34196,Road,3052,47380,3494,88122,Winter,PKR
40,Hazarganji Chiltan National Park,Balochistan,2025-04-11,2025-04-21,10,53,Female,Foreign,4,Leisure,Mid,93880,Flight,101800,145400,19990,361070,Spring,PKR
41,Jallo Park,Punjab,2026-04-25,2026-04-29,4,41,Female,Pakistani,5,Adventure,Mid,46240,Road,24262,65360,7352,143214,Spring,PKR
42,Gulmit,Gilgit-Baltistan,2025-12-02,2025-12-10,8,42,Male,Pakistani,5,Business,Mid,111016,Road,54752,92400,12192,270360,Winter,PKR
43,Derawar Fort,Punjab,2025-12-29,2026-01-08,10,57,Male,Foreign,1,Family,Budget,22940,Road,13952,16050,6200,59142,Winter,PKR
44,Lower Dir,KPK,2026-01-25,2026-01-30,5,45,Male,Foreign,5,Adventure,Mid,44815,Road,2092,62600,11285,120792,Winter,PKR
45,Timargara (Lower Dir),KPK,2025-05-28,2025-06-04,7,44,Female,Pakistani,3,Leisure,Budget,25473,Road,39489,35553,4907,105422,Spring,PKR
46,Borith Lake,Gilgit-Baltistan,2026-03-06,2026-03-15,9,25,Male,Foreign,5,Adventure,Luxury,250920,Road,15424,204210,27270,497824,Spring,PKR
47,Kaghan,KPK,2025-01-16,2025-01-24,8,48,Female,Foreign,2,Adventure,Budget,40400,Road,8640,27632,8520,85192,Winter,PKR
48,Ghulkin Glacier,Gilgit-Baltistan,2026-10-13,2026-10-15,2,20,Female,Foreign,3,Family,Mid,22648,Road,24398,15672,4020,66738,Autumn,PKR
49,Saral Lake,AJK,2025-08-02,2025-08-10,8,54,Female,Pakistani,1,Leisure,Budget,29336,Road,9420,10880,5944,55580,Summer,PKR
50,Sost,Gilgit-Baltistan,2025-04-26,2025-05-01,5,19,Male,Foreign,1,Adventure,Luxury,184770,Road,68228,32545,17970,303513,Spring,PKR
51,Hazarganji Chiltan National Park,Balochistan,2026-11-22,2026-12-01,9,33,Female,Foreign,3,Leisure,Budget,44010,Road,19516,43902,6705,114133,Autumn,PKR
52,Hunza Glacier,Gilgit-Baltistan,2026-08-07,2026-08-17,10,18,Male,Foreign,4,Leisure,Mid,83840,Flight,71740,88920,19260,263760,Summer,PKR
53,Mangla Dam,AJK,2026-03-16,2026-03-23,7,18,Female,Foreign,4,Family,Budget,28343,Road,2017,49392,7056,86808,Spring,PKR
54,Sialkot,Punjab,2025-12-22,2025-12-27,5,30,Male,Pakistani,3,Leisure,Budget,14865,Road,5353,25410,3480,49108,Winter,PKR
55,Rush Lake,Gilgit-Baltistan,2025-01-13,2025-01-22,9,20,Female,Foreign,5,Business,Luxury,284202,Road,20040,271080,24606,599928,Winter,PKR
56,Phander Lake,Gilgit-Baltistan,2025-10-14,2025-10-17,3,23,Male,Pakistani,1,Family,Mid,24156,Flight,41282,7797,3903,77138,Autumn,PKR
57,Wazirabad,Punjab,2025-12-02,2025-12-10,8,42,Male,Pakistani,2,Family,Mid,86200,Flight,78670,32464,15592,212926,Winter,PKR
58,Kohat,KPK,2025-11-26,2025-12-02,6,23,Male,Pakistani,2,Leisure,Budget,26946,Flight,58110,25272,5040,115368,Autumn,PKR
59,Arif Wala,Punjab,2025-06-15,2025-06-22,7,50,Male,Foreign,2,Adventure,Budget,22267,Road,13416,15218,4291,55192,Summer,PKR
60,Nankana Sahib,Punjab,2025-09-21,2025-09-26,5,39,Female,Foreign,1,Family,Luxury,76855,Road,18699,25800,16995,138349,Autumn,PKR
61,Nowshera,KPK,2025-05-10,2025-05-17,7,60,Female,Pakistani,5,Family,Mid,101598,Flight,131855,137935,8435,379823,Spring,PKR
62,Derawar Fort,Punjab,2025-09-12,2025-09-14,2,53,Female,Foreign,3,Family,Luxury,57588,Road,14227,31974,5716,109505,Autumn,PKR
63,Khabikki Lake,Punjab,2025-09-30,2025-10-06,6,20,Male,Pakistani,4,Business,Mid,54936,Road,3744,45048,5274,109002,Autumn,PKR
64,Wazirabad,Punjab,2026-11-03,2026-11-05,2,53,Female,Pakistani,5,Business,Budget,4292,Road,1060,12410,908,18670,Autumn,PKR
65,Khushab,Punjab,2025-11-02,2025-11-07,5,31,Female,Foreign,4,Business,Mid,33540,Road,17793,67940,6275,125548,Autumn,PKR
66,Thandiani,KPK,2026-12-29,2027-01-07,9,40,Female,Pakistani,5,Family,Mid,105786,Road,9396,161505,12375,289062,Winter,PKR
67,Hussaini Suspension Bridge,Gilgit-Baltistan,2026-03-30,2026-04-05,6,43,Male,Pakistani,2,Adventure,Mid,72312,Road,11951,34920,12168,131351,Spring,PKR
68,Charsadda,KPK,2026-05-13,2026-05-20,7,36,Male,Foreign,2,Business,Mid,99351,Flight,56586,31976,12740,200653,Spring,PKR
69,Sunset Park Gwadar,Balochistan,2025-08-18,2025-08-27,9,24,Male,Pakistani,1,Family,Mid,78651,Flight,21907,27684,10665,138907,Summer,PKR
70,Hazarganji Chiltan National Park,Balochistan,2026-01-18,2026-01-24,6,46,Male,Pakistani,4,Family,Luxury,145464,Road,5306,151176,19074,321020,Winter,PKR
71,Chuprial,KPK,2025-01-19,2025-01-21,2,36,Female,Foreign,1,Family,Mid,16014,Road,19280,4696,4964,44954,Winter,PKR
72,Fort Munro,Punjab,2025-03-29,2025-04-08,10,18,Male,Foreign,4,Family,Mid,112950,Road,9693,105520,11920,240083,Spring,PKR
73,Lower Kachura Lake,Gilgit-Baltistan,2026-12-09,2026-12-15,6,46,Female,Pakistani,2,Business,Budget,30642,Flight,83254,21744,5088,140728,Winter,PKR
74,Vehari,Punjab,2026-07-25,2026-08-01,7,19,Female,Pakistani,4,Business,Mid,82019,Road,15062,87780,9730,194591,Summer,PKR
75,Katora Lake,KPK,2026-07-04,2026-07-11,7,34,Female,Pakistani,4,Adventure,Mid,104566,Road,7219,86772,11830,210387,Summer,PKR
76,Uch Sharif,Punjab,2025-12-29,2026-01-04,6,39,Female,Pakistani,4,Leisure,Budget,14214,Road,8513,30312,2430,55469,Winter,PKR
77,Empress Market,Sindh,2025-11-11,2025-11-17,6,46,Male,Foreign,1,Business,Mid,57924,Flight,22283,14958,6162,101327,Autumn,PKR
78,Khanewal,Punjab,2025-01-29,2025-02-03,5,18,Female,Foreign,3,Adventure,Luxury,146285,Road,13937,57900,15985,234107,Winter,PKR
79,Mian Channu,Punjab,2025-09-18,2025-09-23,5,26,Female,Pakistani,3,Family,Mid,51295,Road,2620,39540,6285,99740,Autumn,PKR
80,Muzaffarabad,AJK,2025-12-24,2025-12-28,4,46,Female,Foreign,2,Adventure,Luxury,131680,Road,17280,53912,9048,211920,Winter,PKR
81,Toba Tek Singh,Punjab,2025-02-01,2025-02-04,3,37,Female,Pakistani,5,Family,Budget,6615,Road,644,27345,2181,36785,Winter,PKR
82,Arang Kel,AJK,2026-08-14,2026-08-21,7,31,Male,Foreign,2,Leisure,Luxury,230825,Road,17028,59122,24262,331237,Summer,PKR
83,Dhandh Wildlife Sanctuary,Sindh,2026-05-05,2026-05-07,2,54,Male,Pakistani,2,Business,Budget,7050,Road,54324,6936,1692,70002,Spring,PKR
84,Lake Saif-ul-Malook,KPK,2025-11-23,2025-11-25,2,54,Male,Pakistani,2,Family,Luxury,75338,Road,6586,16860,5854,104638,Autumn,PKR
85,Lal Shahbaz Qalandar Shrine,Sindh,2026-08-04,2026-08-07,3,45,Female,Foreign,4,Family,Luxury,60087,Road,18656,65184,10668,154595,Summer,PKR
86,Sadh Belo Temple,Sindh,2026-10-06,2026-10-15,9,50,Female,Pakistani,5,Adventure,Budget,42597,Road,633,84420,5994,133644,Autumn,PKR
87,Karoonjhar Mountains,Sindh,2026-08-15,2026-08-17,2,33,Female,Foreign,2,Business,Mid,19070,Road,46694,15520,3546,84830,Summer,PKR
88,Mian Channu,Punjab,2025-08-24,2025-08-27,3,28,Male,Pakistani,3,Family,Mid,19050,Road,14704,25227,4743,63724,Summer,PKR
89,Cholistan Forts,Punjab,2025-10-16,2025-10-20,4,26,Female,Pakistani,5,Family,Budget,13664,Road,5824,27700,3336,50524,Autumn,PKR
90,Murree,Punjab,2025-05-28,2025-06-05,8,60,Male,Pakistani,4,Business,Mid,59232,Road,3960,96224,15656,175072,Spring,PKR
91,Prospect Point Ziarat,Balochistan,2026-02-14,2026-02-22,8,51,Male,Pakistani,1,Adventure,Luxury,261584,Flight,37368,33896,30752,363600,Winter,PKR
92,Darkot Pass,Gilgit-Baltistan,2025-05-24,2025-05-26,2,53,Male,Pakistani,3,Business,Luxury,48908,Road,21049,31080,9854,110891,Spring,PKR
93,Spin Khwar,KPK,2025-09-24,2025-10-02,8,60,Male,Pakistani,4,Business,Luxury,309368,Road,4787,150208,33712,498075,Autumn,PKR
94,Miani,Punjab,2025-11-09,2025-11-11,2,55,Female,Pakistani,5,Leisure,Mid,19448,Road,9688,24790,3640,57566,Autumn,PKR
95,Nanga Parbat Base Camp (Fairy Meadows),Gilgit-Baltistan,2026-08-17,2026-08-22,5,18,Female,Pakistani,2,Business,Luxury,178935,Road,12672,58910,12360,262877,Summer,PKR
96,Tirah Valley,KPK,2025-05-14,2025-05-21,7,26,Female,Pakistani,1,Leisure,Mid,72058,Flight,32136,22841,13769,140804,Spring,PKR
97,Haldik,Gilgit-Baltistan,2026-01-20,2026-01-29,9,55,Male,Foreign,1,Adventure,Budget,41139,Flight,27159,19449,5733,93480,Winter,PKR
98,Spin Karez,Balochistan,2026-09-08,2026-09-16,8,39,Male,Foreign,4,Business,Mid,98232,Flight,111380,91680,16464,317756,Autumn,PKR
99,Nagar Valley,Gilgit-Baltistan,2026-01-15,2026-01-23,8,52,Male,Pakistani,3,Adventure,Mid,74032,Road,8073,51144,17800,151049,Winter,PKR
100,Barpu,Gilgit-Baltistan,2025-12-13,2025-12-16,3,44,Female,Foreign,1,Leisure,Mid,43674,Flight,22724,7107,3513,77018,Winter,PKR
101,Hispar Glacier,Gilgit-Baltistan,2026-09-24,2026-10-03,9,51,Female,Pakistani,5,Family,Mid,107307,Flight,81200,160335,19836,368678,Autumn,PKR
102,Ayubia,KPK,2025-08-21,2025-08-30,9,43,Male,Pakistani,1,Adventure,Mid,105723,Road,12742,30978,22005,171448,Summer,PKR
103,Mingora,KPK,2025-05-14,2025-05-23,9,54,Male,Pakistani,3,Leisure,Budget,30285,Road,5113,49059,6795,91252,Spring,PKR
104,Chandragup Mud Volcano,Balochistan,2025-02-24,2025-03-02,6,40,Male,Pakistani,3,Family,Luxury,160434,Road,7683,95994,18864,282975,Winter,PKR
105,Derawar Fort,Punjab,2026-08-28,2026-09-02,5,56,Male,Pakistani,2,Leisure,Mid,33290,Flight,48736,21380,7630,111036,Summer,PKR
106,Toli Pir,AJK,2026-09-08,2026-09-18,10,46,Male,Foreign,2,Business,Luxury,369760,Road,12922,134740,39620,557042,Autumn,PKR
107,Katora Lake,KPK,2026-03-17,2026-03-25,8,24,Female,Foreign,3,Leisure,Mid,69560,Road,5040,66288,14504,155392,Spring,PKR
108,Kallar Kahar,Punjab,2025-12-24,2026-01-02,9,30,Female,Pakistani,2,Family,Luxury,151929,Road,4032,70290,25686,251937,Winter,PKR
109,Lulusar Lake,KPK,2025-05-31,2025-06-07,7,44,Female,Pakistani,3,Business,Budget,32249,Road,14176,36561,3535,86521,Spring,PKR
110,Kuz Gali,KPK,2026-03-01,2026-03-09,8,57,Male,Foreign,4,Leisure,Mid,101272,Road,2894,69056,8672,181894,Spring,PKR
111,Spin Khwar,KPK,2026-06-17,2026-06-27,10,35,Male,Foreign,4,Business,Budget,51550,Road,18259,77800,9670,157279,Summer,PKR
112,Bala Hissar,Punjab,2026-11-30,2026-12-09,9,28,Female,Foreign,1,Family,Mid,74556,Road,9400,27387,11538,122881,Autumn,PKR
113,Bala Hissar (Gilgit),Gilgit-Baltistan,2026-06-24,2026-07-01,7,41,Female,Foreign,4,Family,Budget,33544,Road,22022,39256,7889,102711,Summer,PKR
114,Hispar Glacier,Gilgit-Baltistan,2026-03-28,2026-04-03,6,41,Female,Foreign,1,Leisure,Budget,31218,Road,19800,9450,5148,65616,Spring,PKR
115,Miandam,KPK,2025-04-30,2025-05-05,5,40,Female,Foreign,1,Family,Budget,15080,Road,10050,8515,2815,36460,Spring,PKR
116,Talagang,Punjab,2025-03-11,2025-03-18,7,39,Male,Pakistani,3,Family,Luxury,108633,Road,8704,95739,16219,229295,Spring,PKR
117,Gupis Valley,Gilgit-Baltistan,2025-09-08,2025-09-15,7,32,Male,Foreign,2,Business,Mid,69685,Road,5376,47404,13146,135611,Autumn,PKR
118,Khanpur,Punjab,2026-12-26,2027-01-02,7,58,Male,Foreign,3,Leisure,Budget,25697,Road,3993,39690,5299,74679,Winter,PKR
119,Khushab,Punjab,2026-09-17,2026-09-21,4,40,Female,Pakistani,4,Family,Luxury,87000,Road,12566,56400,12496,168462,Autumn,PKR
120,K-2 Base Camp,Gilgit-Baltistan,2025-03-06,2025-03-13,7,45,Female,Pakistani,4,Leisure,Luxury,178038,Road,2448,145236,32529,358251,Spring,PKR
121,Toli Pir,AJK,2025-03-11,2025-03-19,8,44,Female,Foreign,1,Leisure,Budget,34600,Road,6346,11224,9032,61202,Spring,PKR
122,Phander Valley,Gilgit-Baltistan,2025-02-11,2025-02-21,10,19,Female,Pakistani,1,Leisure,Budget,39750,Road,12488,13060,9460,74758,Winter,PKR
123,Chappar Gali,KPK,2026-01-30,2026-02-07,8,34,Male,Foreign,5,Adventure,Mid,81432,Road,10379,101680,15248,208739,Winter,PKR
124,Sonmiani Beach,Sindh,2025-03-23,2025-04-02,10,19,Female,Foreign,3,Family,Mid,81380,Road,36289,106740,18040,242449,Spring,PKR
125,Quaid-e-Azam Mausoleum,Sindh,2025-01-10,2025-01-15,5,23,Female,Pakistani,5,Adventure,Mid,51580,Road,26265,56625,7610,142080,Winter,PKR
126,Nathia Gali,KPK,2026-03-18,2026-03-21,3,30,Male,Foreign,3,Leisure,Mid,43641,Flight,111228,29520,3291,187680,Spring,PKR
127,Miani,Punjab,2025-06-11,2025-06-19,8,21,Female,Pakistani,3,Business,Budget,29232,Road,24017,31464,6096,90809,Summer,PKR
128,Galyat,KPK,2025-01-10,2025-01-16,6,43,Female,Pakistani,4,Business,Budget,22512,Road,10548,32904,6240,72204,Winter,PKR
129,Lodhran,Punjab,2026-08-17,2026-08-20,3,52,Female,Foreign,2,Adventure,Luxury,51402,Road,19075,31056,8352,109885,Summer,PKR
130,Khaplu,Gilgit-Baltistan,2025-02-13,2025-02-21,8,46,Male,Foreign,4,Leisure,Luxury,221008,Road,33616,189952,28976,473552,Winter,PKR
131,Chalta Valley,Gilgit-Baltistan,2025-07-09,2025-07-12,3,49,Male,Foreign,1,Business,Luxury,109209,Flight,34521,14544,13710,171984,Summer,PKR
132,Snow Lake (Hispar),Gilgit-Baltistan,2026-09-26,2026-09-28,2,60,Male,Foreign,2,Adventure,Luxury,61186,Road,16302,26616,7340,111444,Autumn,PKR
133,Doraha,KPK,2026-03-09,2026-03-11,2,58,Male,Foreign,5,Family,Mid,27712,Flight,122700,39240,2572,192224,Spring,PKR
134,Gulmit,Gilgit-Baltistan,2025-06-25,2025-07-01,6,51,Female,Pakistani,1,Leisure,Luxury,228846,Road,7252,27618,21378,285094,Summer,PKR
135,Jallo Park,Punjab,2026-11-03,2026-11-13,10,32,Female,Pakistani,4,Leisure,Mid,88070,Flight,174304,114240,10680,387294,Autumn,PKR
136,Rabwah,Punjab,2026-10-29,2026-11-06,8,50,Male,Foreign,5,Leisure,Mid,77992,Road,12851,73720,7552,172115,Autumn,PKR
137,Rana Resort,Punjab,2026-01-12,2026-01-18,6,41,Male,Foreign,3,Business,Mid,61362,Road,27608,52002,6192,147164,Winter,PKR
138,Murree,Punjab,2025-08-09,2025-08-12,3,26,Female,Foreign,1,Leisure,Mid,23025,Road,8184,5853,5145,42207,Summer,PKR
139,West Bay Gwadar,Balochistan,2026-03-12,2026-03-21,9,18,Male,Foreign,5,Leisure,Mid,94347,Road,40796,135810,20061,291014,Spring,PKR
140,Keti Bandar,Sindh,2025-06-04,2025-06-13,9,44,Female,Pakistani,3,Family,Mid,88884,Flight,94608,78462,11034,272988,Summer,PKR
141,Mankial,KPK,2025-04-07,2025-04-16,9,57,Male,Pakistani,1,Business,Luxury,264546,Road,18570,54333,42390,379839,Spring,PKR
142,Galyat,KPK,2026-09-29,2026-10-03,4,38,Female,Pakistani,2,Leisure,Mid,49072,Flight,41548,22048,7440,120108,Autumn,PKR
143,Neelum Valley,AJK,2025-04-10,2025-04-20,10,51,Male,Pakistani,2,Adventure,Mid,88320,Flight,44902,63580,12010,208812,Spring,PKR
144,Banjosa Lake,AJK,2026-10-26,2026-10-31,5,47,Female,Foreign,2,Family,Budget,23100,Road,8399,15280,4200,50979,Autumn,PKR
145,Chitral,KPK,2025-12-26,2026-01-01,6,55,Female,Foreign,3,Leisure,Mid,84126,Road,23616,57060,6024,170826,Winter,PKR
146,Gujranwala,Punjab,2025-09-12,2025-09-21,9,20,Female,Pakistani,5,Family,Mid,91818,Road,8275,128835,11754,240682,Autumn,PKR
147,Nankana Sahib,Punjab,2026-08-27,2026-09-06,10,26,Male,Pakistani,5,Adventure,Mid,103090,Road,21945,161550,9460,296045,Summer,PKR
148,Shalimar Gardens,Punjab,2026-10-08,2026-10-10,2,45,Male,Pakistani,1,Adventure,Luxury,53728,Road,40964,7438,3630,105760,Autumn,PKR
149,Jahaz Banda,KPK,2025-09-17,2025-09-21,4,58,Female,Foreign,4,Adventure,Budget,21676,Flight,95716,20256,3344,140992,Autumn,PKR
150,Mardan,KPK,2026-05-24,2026-05-30,6,41,Female,Foreign,2,Leisure,Budget,21456,Road,3528,19248,4038,48270,Spring,PKR
151,Punial Valley,Gilgit-Baltistan,2025-03-24,2025-03-26,2,24,Female,Pakistani,1,Business,Mid,17578,Road,33896,7744,4442,63660,Spring,PKR
152,Garelt,Gilgit-Baltistan,2026-08-27,2026-08-30,3,57,Male,Foreign,3,Leisure,Luxury,99936,Road,12384,55755,7695,175770,Summer,PKR
153,Saral Lake,AJK,2026-01-13,2026-01-22,9,47,Male,Pakistani,1,Business,Mid,74322,Road,6494,32940,13212,126968,Winter,PKR
154,Kalam,KPK,2026-08-05,2026-08-09,4,22,Female,Pakistani,1,Family,Mid,59048,Road,18240,11992,5256,94536,Summer,PKR
155,Hunza Valley,Gilgit-Baltistan,2025-06-16,2025-06-19,3,31,Male,Pakistani,2,Adventure,Budget,13905,Road,0,11742,1689,27336,Summer,PKR
156,Tirah Valley,KPK,2025-08-31,2025-09-10,10,25,Male,Foreign,5,Adventure,Budget,36560,Road,6374,72350,11170,126454,Summer,PKR
157,Diamer Valley,Gilgit-Baltistan,2025-01-28,2025-02-07,10,25,Male,Foreign,3,Business,Mid,82020,Road,7091,87960,22140,199211,Winter,PKR
158,Lahore,Punjab,2025-05-27,2025-05-30,3,44,Male,Pakistani,3,Family,Budget,7368,Road,15638,11061,2037,36104,Spring,PKR
159,Okara,Punjab,2026-06-09,2026-06-14,5,52,Female,Pakistani,4,Family,Budget,10335,Road,336,37940,4235,52846,Summer,PKR
160,Chagai Hills,Balochistan,2025-07-17,2025-07-27,10,26,Male,Pakistani,2,Adventure,Mid,83690,Road,7020,49440,19680,159830,Summer,PKR
161,Hunza Valley,Gilgit-Baltistan,2026-02-13,2026-02-21,8,31,Female,Foreign,3,Adventure,Luxury,280048,Road,22080,162408,30216,494752,Winter,PKR
162,Hammerhead Gwadar,Balochistan,2025-08-19,2025-08-22,3,26,Female,Pakistani,2,Business,Mid,36330,Road,17984,13086,6657,74057,Summer,PKR
163,Moola Chotok,Balochistan,2025-03-19,2025-03-21,2,26,Male,Pakistani,5,Adventure,Budget,11672,Road,24841,16220,2074,54807,Spring,PKR
164,Sheosar Lake,Gilgit-Baltistan,2026-06-29,2026-07-06,7,27,Male,Foreign,4,Leisure,Budget,21252,Flight,72296,56280,6111,155939,Summer,PKR
165,Taxila,Punjab,2025-03-02,2025-03-12,10,52,Female,Foreign,2,Family,Mid,118260,Road,35262,69260,8070,230852,Spring,PKR
166,Sonmiani Beach,Sindh,2025-10-12,2025-10-15,3,58,Male,Foreign,4,Family,Budget,13395,Road,35424,27768,2889,79476,Autumn,PKR
167,Shrine of Shah Abdul Latif Bhittai,Sindh,2025-10-13,2025-10-20,7,53,Female,Foreign,4,Family,Luxury,234213,Road,5088,141176,17654,398131,Autumn,PKR
168,Sahiwal,Punjab,2026-12-30,2027-01-08,9,30,Male,Foreign,5,Leisure,Mid,95895,Road,24779,130725,16920,268319,Winter,PKR
169,East Bay Gwadar,Balochistan,2026-09-27,2026-09-30,3,46,Female,Pakistani,1,Adventure,Budget,13938,Road,61400,3915,1980,81233,Autumn,PKR
170,Gulapur,Gilgit-Baltistan,2025-06-02,2025-06-11,9,58,Male,Pakistani,5,Leisure,Mid,122490,Road,35942,116595,17469,292496,Summer,PKR
171,Kot Diji Fort,Sindh,2025-10-08,2025-10-10,2,35,Male,Foreign,2,Adventure,Mid,21136,Road,7252,9008,4712,42108,Autumn,PKR
172,Sost,Gilgit-Baltistan,2026-12-26,2026-12-28,2,57,Male,Foreign,2,Family,Mid,27494,Road,24025,15032,3862,70413,Winter,PKR
